Tabela,Campo,PK,Tipo,Descrição
pedido,cd_pedido,X,bigint,
pedido,cd_pessoa_filial,,integer,
pedido,cd_pessoa_cliente,,integer,
pedido,cd_regiao_venda,,integer,
pedido,cd_tipo_pagamento,,integer,
pedido,cd_condicao_pagamento,,integer,
pedido,cd_tipo_pedido,,integer,
pedido,cd_pessoa_usuario,,integer,
pedido,cd_armazem,,integer,
pedido,cd_carga,,integer,
pedido,cd_pedido_origem,,integer,
pedido,cd_lista_preco,,integer,
pedido,dt_pedido,,date,
pedido,dt_faturado,,date,
pedido,dt_previsao_entrega,,date,
pedido,id_situacao,,smallint,
pedido,vl_total,,"numeric(15,2)",
pedido,vl_desconto,,smallint,
pedido,nr_dias_prazo,,smallint,
pedido,id_prazo,,date,
pedido,dt_vencimento,,date,
pedido,dt_integracao,,timestamp,
pedido,dt_importacao,,timestamp,
pedido,ds_pedido_externo,,text,
pedido,ds_observacao_integracao,,text,
pedido,created_at,,timestamp,Data de criação do registro
pedido,updated_at,,timestamp,Data da última atualização do registro
pedido,dt_cancelamento,,date,
pedido,cd_operacao_fiscal,,integer,
pedido,cd_cadastro_cliente,,integer,
pedido,cd_pessoa_fornecedor,,integer,
pedido,nr_ordem_compra,,text,
pedido,id_negociacao_especial,,smallint,
pedido,vl_acrescimo,,"numeric(15,3)",
pedido,vl_liquido,,"numeric(15,3)",
pedido,ds_status,,text,
pedido,nr_pedido_aplicativo,,text,
pedido,id_valida_combo,,smallint,
pedido,ds_motivo_cancelamento,,text,
pedido,ds_transacao_pagamento_externo,,text,
pedido,cd_usuario,,bigint,
pedido,dt_entrega,,date,
pedido,nr_nota_fiscal,,text,
pedido,nr_serie,,text,
pedido,nr_chave_nfe,,text,
pedido,hr_faturado,,time without time zone,
pedido,cd_pedido_original,,bigint,
pedido,nr_pedido_original,,text,
pedido,dt_previsao_faturamento,,date,
pedido_estorno,cd_pedido,X,bigint,
pedido_estorno,cd_nota_fiscal,,bigint,
pedido_estorno,dt_estorno,,date,
pedido_estorno,cd_pessoa_estorno,,integer,
pedido_estorno,ds_observacao,,text,
pedido_estorno,created_at,,timestamp,Data de criação do registro
pedido_estorno,updated_at,,timestamp,Data da última atualização do registro
pedido_historico_situacao,cd_historico,X,integer,
pedido_historico_situacao,cd_pedido,,integer,
pedido_historico_situacao,cd_situacao_pedido,,integer,
pedido_historico_situacao,cd_pessoa_historico,,integer,
pedido_historico_situacao,cd_pessoa_resolucao,,integer,
pedido_historico_situacao,dt_historico,,timestamp,
pedido_historico_situacao,dt_resolucao,,timestamp,
pedido_historico_situacao,created_at,,timestamp,Data de criação do registro
pedido_historico_situacao,updated_at,,timestamp,Data da última atualização do registro
pedido_negociacao,cd_pedido_negociacao,X,integer,
pedido_negociacao,cd_pedido,,integer,
pedido_negociacao,cd_negociacao,,integer,
pedido_negociacao,vl_desconto,,"numeric(15,2)",
pedido_negociacao,created_at,,timestamp,Data de criação do registro
pedido_negociacao,updated_at,,timestamp,Data da última atualização do registro
pedido_notificacao,cd_pedido_negociacao,X,integer,
pedido_notificacao,cd_pedido,,integer,
pedido_notificacao,cd_situacao_pedido,,integer,
pedido_notificacao,dt_notificacao,,timestamp,
pedido_notificacao,ds_notificacao,,text,
pedido_notificacao,created_at,,timestamp,Data de criação do registro
pedido_notificacao,updated_at,,timestamp,Data da última atualização do registro
pedido_observacao,cd_observacao,X,bigint,
pedido_observacao,cd_pedido,,bigint,
pedido_observacao,ds_observacao,,text,
