Tabela,Campo,PK,Tipo,Descrição
acordo_comercial,cd_acordo_comercial,X,integer,
acordo_comercial,dt_inicio,,date,
acordo_comercial,dt_termino,,date,
acordo_comercial,cd_pessoa_cliente,,integer,
acordo_comercial,cd_pessoa_usuario,,integer,
acordo_comercial,dt_geracao,,date,
acordo_comercial,vl_acordo,,"numeric(15,2)",
acordo_comercial,ds_observacao,,text,
acordo_comercial,nr_acordo,,integer,
acordo_comercial,dt_base,,date,
acordo_comercial,cd_documento_firmar_digital,,integer,
acordo_comercial,id_status_assinatura,,smallint,
acordo_comercial,cd_proposta_acordo_comercial,,integer,
acordo_comercial,created_at,,timestamp,Data de criação do registro
acordo_comercial,updated_at,,timestamp,Data da última atualização do registro
acordo_comercial_anexo,cd_acordo_comercial_anexo,X,integer,
acordo_comercial_anexo,cd_acordo_comercial,,integer,
acordo_comercial_anexo,cd_fornecedor_ressarcimento,,integer,
acordo_comercial_anexo,cd_pessoa_usuario,,integer,
acordo_comercial_anexo,ds_anexo,,text,
acordo_comercial_anexo,ds_caminho_anexo,,text,
acordo_comercial_anexo,id_tipo,,smallint,
acordo_comercial_anexo,created_at,,timestamp,Data de criação do registro
acordo_comercial_anexo,updated_at,,timestamp,Data da última atualização do registro
acordo_comercial_contrato,cd_acordo_comercial_contrato[PK],X,integer,
acordo_comercial_contrato,cd_acordo_comercial,,integer,
acordo_comercial_contrato,cd_pessoa_usuario,,integer,
acordo_comercial_contrato,dt_geracao,,date,
acordo_comercial_contrato,ds_acordo_contrato,,text,
acordo_comercial_contrato,ds_caminho_contrato_assinado,,text,
acordo_comercial_contrato,created_at,,timestamp,Data de criação do registro
acordo_comercial_contrato,updated_at,,timestamp,Data da última atualização do registro
acordo_comercial_parametros,cd_acordo_comercial_parametros,X,integer,
acordo_comercial_parametros,cd_acordo_comercial,,integer,
acordo_comercial_parametros,cd_fornecedor_ressarcimento,,integer,
acordo_comercial_parametros,vl_pagamento,,"numeric(15,2)",
acordo_comercial_parametros,pr_reembolso_fornecedor,,"numeric(15,2)",
acordo_comercial_parametros,cd_regiao_venda,,integer,
acordo_comercial_parametros,ds_acao,,text,
acordo_comercial_parametros,created_at,,timestamp,Data de criação do registro
acordo_comercial_parametros,updated_at,,timestamp,Data da última atualização do registro
acordo_comercial_signatario,cd_acordo_comercial,X,integer,
acordo_comercial_signatario,cd_signatario,,integer,
acordo_comercial_signatario,id_tipo,,smallint,
acordo_comercial_signatario,nr_ordem,,smallint,
acordo_comercial_signatario,dt_envio,,timestamp,
acordo_comercial_signatario,dt_visualizacao,,timestamp,
acordo_comercial_signatario,dt_assinatura,,timestamp,
acordo_comercial_signatario,nr_latitude,,"numeric(8,6)",
acordo_comercial_signatario,nr_longitude,,"numeric(8,6)",
acordo_comercial_signatario,nm_pessoa_assinatura,,text,
acordo_comercial_signatario,nr_cpf_pessoa_assinatura,,date,
acordo_comercial_signatario,dt_nascimento_pessoa_assinatura,,date,
acordo_comercial_signatario,nr_ip_assinatura,,text,
acordo_comercial_signatario,ds_navegador_assinatura,,text,
acordo_comercial_signatario,created_at,,timestamp,Data de criação do registro
acordo_comercial_signatario,updated_at,,timestamp,Data da última atualização do registro
acrescimo,cd_acrescimo,X,integer,
acrescimo,nm_acrescimo,,text,
acrescimo,id_calculo,,smallint,
acrescimo,nr_ordem,,smallint,
acrescimo,created_at,,timestamp,Data de criação do registro
acrescimo,updated_at,,timestamp,Data da última atualização do registro
agencia,cd_agencia,,integer,
agencia,cd_banco,,integer,
agencia,cd_cidade,,integer,
agencia,nm_agencia,,text,
agencia,nr_agencia,,text,
agencia,nr_digito,,text,
agencia,created_at,,timestamp,Data de criação do registro
agencia,updated_at,,timestamp,Data da última atualização do registro
armazem,cd_armazem,X,integer,
armazem,cd_pessoa_filial,,integer,
armazem,nm_armazem,,text,
armazem,id_situacao,,smallint,
armazem,id_ativo,,smallint,
armazem,id_tipo,,smallint,
armazem,created_at,,timestamp,Data de criação do registro
armazem,updated_at,,timestamp,Data da última atualização do registro
armazem_estoque,cd_armazem,X,integer,
armazem_estoque,cd_produto,X,integer,
armazem_estoque,cd_cidade,,integer,
armazem_estoque,nm_agencia,,text,
armazem_estoque,nr_agencia,,text,
armazem_estoque,nr_digito,,text,
armazem_estoque,created_at,,timestamp,Data de criação do registro
armazem_estoque,updated_at,,timestamp,Data da última atualização do registro
atividade,cd_atividade,X,integer,
atividade,nm_atividade,,text,
atividade,created_at,,timestamp,Data de criação do registro
atividade,updated_at,,timestamp,Data da última atualização do registro
atividade,cd_referencia_externa,,text,
atividade_passo_visita,cd_atividade,X,integer,
atividade_passo_visita,nm_atividade,,text,
atividade_passo_visita,created_at,,timestamp,Data de criação do registro
atividade_passo_visita,updated_at,,timestamp,Data da última atualização do registro
atividade_passo_visita,cd_referencia_externa,,text,
auditoria_log,cd_auditoria_log,X,bigint,
auditoria_log,dt_auditoria_log,,timestamp,
auditoria_log,nm_base,,text,
auditoria_log,ds_caminho,,text,
auditoria_log,created_at,,timestamp,Data de criação do registro
auditoria_log,updated_at,,timestamp,Data da última atualização do registro
backup_negociacao_cliente,cd_negociacao,X,integer,
backup_negociacao_cliente,cd_pessoa_cliente,,integer,
backup_negociacao_cliente,created_at,,timestamp,Data de criação do registro
backup_negociacao_cliente,updated_at,,timestamp,Data da última atualização do registro
backup_negociacao_cliente,id_excluir,,smallint,
banco,cd_banco,X,integer,
banco,nm_banco,,text,
banco,nr_banco,,smallint,
banco,created_at,,timestamp,Data de criação do registro
banco,updated_at,,timestamp,Data da última atualização do registro
base_dados,cd_base_dados,X,integer,
base_dados,nm_base_dados,,text,
base_dados,nm_conexao,,text,
base_dados,ds_imagem,,text,
base_dados,created_at,,timestamp,Data de criação do registro
base_dados,updated_at,,timestamp,Data da última atualização do registro
bkp_estoque_critico_visita_20230823,cd_estoque_critico_visita,X,integer,
bkp_estoque_critico_visita_20230823,cd_visita_cliente,,integer,
bkp_estoque_critico_visita_20230823,cd_produto,,bigint,
