Tabela,Campo,PK,Tipo,Descrição
combo_produto_geracao_verba,cd_composicao_objetivo,X,integer, 
combo_produto_geracao_verba,ds_composicao_objetivo,,text, 
combo_produto_geracao_verba,id_pagamento,,smallint, 
combo_produto_geracao_verba,id_tipo_apuracao,,smallint, 
combo_produto_geracao_verba,created_at,,timestamp,Data de criação do registro 
combo_produto_geracao_verba,updated_at,,timestamp,Data da última atualização do registro 
comunicado,cd_comunicado,X,integer, 
comunicado,nm_comunicado,,text, 
comunicado,ds_comunicado,,text, 
comunicado,dt_inicio,,date, 
comunicado,dt_fim,,date, 
comunicado,cd_usuario_criacao,,integer, 
comunicado,created_at,,timestamp,Data de criação do registro 
comunicado,updated_at,,timestamp,Data da última atualização do registro 
comunicado_destino,cd_comunicado_destino,X,integer, 
comunicado_destino,cd_regiao_venda,,integer, 
comunicado_destino,created_at,,timestamp,Data de criação do registro 
comunicado_destino,updated_at,,timestamp,Data da última atualização do registro 
comunicado_destino,cd_comunicado,X,integer, 
condicao_pagamento,cd_condicao_pagamento,X,integer, 
condicao_pagamento,nm_condicao_pagamento,,text, 
condicao_pagamento,nr_dias,,smallint, 
condicao_pagamento,vl_indice_preco,,"numeric(15,4) ", 
condicao_pagamento,nr_parcela,,smallint, 
condicao_pagamento,nr_dias_intervalo,,smallint, 
condicao_pagamento,id_envio_app,,smallint, 
condicao_pagamento,created_at,,timestamp,Data de criação do registro 
condicao_pagamento,updated_at,,timestamp,Data da última atualização do registro 
condicao_pagamento,id_coluna_preco,,smallint, 
condicao_pagamento,cd_referencia_externa,,text, 
condicao_pagamento,vl_parcela_minima,,"numeric(15,2) ", 
condicao_pagamento,id_envio_ecommerce,,smallint, 
condicao_pagamento,id_bonificacao,,smallint, 
condicao_pagamento,id_merchandising,,smallint, 
condicao_pagamento_categoria,cd_condicao_pagamento,X,integer, 
condicao_pagamento_categoria,cd_categoria_produto,X,integer, 
condicao_pagamento_categoria,created_at,,timestamp,Data de criação do registro 
condicao_pagamento_categoria,updated_at,,timestamp,Data da última atualização do registro 
condicao_pagamento_empresa,cd_condicao_pagamento,X,integer, 
condicao_pagamento_empresa,cd_pessoa_empresa,X,integer, 
condicao_pagamento_empresa,created_at,,timestamp,Data de criação do registro 
condicao_pagamento_empresa,updated_at,,timestamp,Data da última atualização do registro 
condicao_pagamento_fabricante,cd_condicao_pagamento,X,integer, 
condicao_pagamento_fabricante,cd_fabricante,X,bigint, 
condicao_pagamento_fabricante,created_at,,timestamp,Data de criação do registro 
condicao_pagamento_fabricante,updated_at,,timestamp,Data da última atualização do registro 
condicao_pagamento_marca,cd_condicao_pagamento,X,integer, 
condicao_pagamento_marca,cd_marca,X,integer, 
condicao_pagamento_marca,created_at,,timestamp,Data de criação do registro 
condicao_pagamento_marca,updated_at,,timestamp,Data da última atualização do registro 
condicao_pagamento_produto,cd_condicao_pagamento,X,integer, 
condicao_pagamento_produto,cd_produto,X,bigint, 
condicao_pagamento_produto,created_at,,timestamp,Data de criação do registro 
condicao_pagamento_produto,updated_at,,timestamp,Data da última atualização do registro 
condicao_pagamento_produto_restricao,cd_condicao_pagamento,X,integer, 
condicao_pagamento_produto_restricao,cd_produto,X,bigint, 
condicao_pagamento_produto_restricao,created_at,,timestamp,Data de criação do registro 
condicao_pagamento_produto_restricao,updated_at,,timestamp,Data da última atualização do registro 
consultor_digital,cd_pessoa,X,integer, 
consultor_digital,id_ativo,X,smallint, 
consultor_digital,created_at,,timestamp,Data de criação do registro 
consultor_digital,updated_at,,timestamp,Data da última atualização do registro 
conta_bancaria,cd_conta_bancaria,X,integer, 
conta_bancaria,cd_pessoa,,integer, 
conta_bancaria,cd_banco,,integer, 
conta_bancaria,cd_agencia,,integer, 
conta_bancaria,nr_conta,,text, 
conta_bancaria,nr_digito,,text, 
conta_bancaria,id_tipo,,smallint, 
conta_bancaria,id_conciliaacao,,smallint, 
conta_bancaria,created_at,,timestamp,Data de criação do registro 
conta_bancaria,updated_at,,timestamp,Data da última atualização do registro 
conta_bancaria,id_principal,,text, 
conta_bancaria_conciliacao_saldo,cd_conta_bancaria,X,integer, 
conta_bancaria_conciliacao_saldo,vl_saldo_inicial,,"numeric(15,2) ", 
conta_bancaria_conciliacao_saldo,vl_saldo_final,,"numeric(15,2) ", 
conta_bancaria_conciliacao_saldo,created_at,,timestamp,Data de criação do registro 
conta_bancaria_conciliacao_saldo,updated_at,,timestamp,Data da última atualização do registro 
conta_bancaria_conciliacao_saldo,dt_saldo_inicial,,date, 
