Tabela,Campo,PK,Tipo,Descrição
bodega_mix_pedido,cd_bodega_mix_pedido ,X ,integer , 
bodega_mix_pedido,dt_pedido , ,timestamp without time zone , 
bodega_mix_pedido,nr_pedido , ,text , 
bodega_mix_pedido,dt_integrado , ,timestamp without time zone , 
bodega_mix_pedido,json_pedido , ,jsonb , 
bodega_mix_pedido,created_at , ,timestamp without time zone ,Data de criação do registro 
bodega_mix_pedido,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
bodega_mix_pedido,ds_retorno , ,text , 
book,cd_book ,X ,integer , 
book,cd_grupo_produto , ,integer , 
book,dt_inicio , ,date , 
book,dt_termino , ,date , 
book,cd_pessoa_usuario , ,integer , 
book,created_at , ,timestamp without time zone ,Data de criação do registro 
book,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
book,cd_fabricante , ,bigint , 
book,cd_marca , ,integer , 
book_foto,cd_book , ,integer , 
book_foto,cd_foto_visita , ,integer , 
book_foto,cd_pessoa_usuario , ,integer , 
book_foto,created_at , ,timestamp without time zone ,Data de criação do registro 
book_foto,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
book_foto,cd_book_foto ,X ,integer , 
book_foto,cd_ponto_extra , ,integer , 
book_foto,cd_foto_visita_depois , ,integer , 
book_foto,cd_ponto_extra_foto , ,integer , 
cadastro_cliente,cd_cadastro_cliente ,X ,integer , 
cadastro_cliente,nr_documento , ,text , 
cadastro_cliente,nm_pessoa , ,text , 
cadastro_cliente,nr_cep , ,text , 
cadastro_cliente,nm_logradouro , ,text , 
cadastro_cliente,nr_endereco , ,text , 
cadastro_cliente,nm_bairro , ,text , 
cadastro_cliente,ds_email , ,text , 
cadastro_cliente,nr_telefone , ,text , 
cadastro_cliente,cd_cidade , ,integer , 
cadastro_cliente,cd_atividade , ,integer , 
cadastro_cliente,vl_sugestao_limite , ,"numeric(15,2) ", 
cadastro_cliente,cd_condicao_pagamento , ,integer , 
cadastro_cliente,cd_pessoa_filial , ,integer , 
cadastro_cliente,cd_regiao_venda , ,integer , 
cadastro_cliente,nr_latitude , ,text , 
cadastro_cliente,nr_ie , ,text , 
cadastro_cliente,id_contribuinte_final , ,integer , 
cadastro_cliente,dt_exportacao , ,timestamp without time zone , 
cadastro_cliente,created_at , ,timestamp without time zone ,Data de criação do registro 
cadastro_cliente,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
cadastro_cliente,nm_fantasia , ,integer , 
cadastro_cliente,nr_telefone_outro , ,integer , 
cadastro_cliente,ds_email_comunicacao , ,integer , 
cadastro_cliente,nm_contato , ,integer , 
cadastro_cliente,nm_cidade , ,text , 
cadastro_cliente,ds_sigla , ,text , 
cadastro_cliente,ds_status , ,text , 
cadastro_cliente,dt_cadastro , ,timestamp without time zone , 
cadastro_cliente,dt_importacao , ,timestamp without time zone , 
cadastro_cliente,cd_referencia_externa , ,text , 
cadastro_cliente,ds_observacao , ,text , 
cadastro_cliente,id_contribuinte_icms , ,smallint , 
cadastro_cliente,ds_foto_fachada , ,text , 
cadastro_cliente,ds_foto_checkout , ,text , 
carga,cd_carga ,X ,integer , 
carga,cd_pessoa_filial , ,integer , 
carga,cd_pessoa_usuario , ,integer , 
carga,dt_geracao , ,timestamp without time zone , 
carga,id_encerrada , ,smallint , 
carga,created_at , ,timestamp without time zone ,Data de criação do registro 
carga,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
carga_estoque,cd_carga ,X ,integer , 
carga_estoque,cd_produto ,X ,integer , 
carga_estoque,qt_produto , ,integer , 
carga_estoque,created_at , ,timestamp without time zone ,Data de criação do registro 
carga_estoque,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
carga_saida,cd_carga ,X ,integer , 
carga_saida,cd_rota , ,integer , 
carga_saida,cd_veiculo , ,integer , 
carga_saida,cd_pessoa_transportadora , ,integer , 
carga_saida,id_semana , ,smallint , 
carga_saida,id_fechada , ,smallint , 
carga_saida,id_tipo_frete , ,smallint , 
carga_saida,dt_saida , ,date , 
carga_saida,dt_retorno , ,date , 
carga_saida,id_atualizada_armazem_retorno , ,smallint , 
carga_saida,Id_atualizada_financeiro , ,smallint , 
carga_saida,dt_atualizacao_armazem_retorno , ,timestamp without time zone , 
carga_saida,id_frete_responsabilidade , ,smallint , 
carga_saida,created_at , ,timestamp without time zone ,Data de criação do registro 
carga_saida,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
cargo,cd_cargo ,X ,integer , 
cargo,nm_cargo , ,text , 
cargo,nr_cbo , ,bigint , 
cargo,created_at , ,timestamp without time zone ,Data de criação do registro 
cargo,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
carregamento,cd_carregamento ,X ,bigint , 
carregamento,dt_carregamento , ,timestamp without time zone , 
carregamento,dt_saida , ,timestamp without time zone , 
carregamento,cd_veiculo , ,integer , 
carregamento,cd_pessoa_motorista , ,integer , 
carregamento,cd_pessoa_transportadora , ,integer , 
carregamento,id_status , ,smallint , 
carregamento,created_at , ,timestamp without time zone ,Data de criação do registro 
carregamento,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
carregamento_nota_fiscal,cd_carregamento ,X ,integer , 
carregamento_nota_fiscal,cd_nota_fiscal ,X ,integer , 
carregamento_nota_fiscal,created_at , ,timestamp without time zone ,Data de criação do registro 
carregamento_nota_fiscal,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
categoria_combo,cd_categoria_combo ,X ,integer , 
categoria_combo,nm_categoria_combo , ,text , 
categoria_combo,ds_categoria_combo , ,text , 
categoria_combo,created_at , ,timestamp without time zone ,Data de criação do registro 
categoria_combo,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
categoria_combo,cd_referencia_externa , ,text , 
categoria_combo_grupo_ativacao,cd_categoria_combo ,X ,integer , 
categoria_combo_grupo_ativacao,cd_grupo_ativacao ,X ,Integer , 
categoria_combo_grupo_ativacao,qt_minima , ,integer , 
categoria_combo_grupo_ativacao,created_at , ,timestamp without time zone ,Data de criação do registro 
categoria_combo_grupo_ativacao,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
categoria_combo_grupo_ativacao,id_contabiliza , ,smallint , 
categoria_conciliacao,cd_categoria_conciliacao ,X ,integer , 
categoria_conciliacao,nm_categoria_conciliacao , ,text , 
categoria_conciliacao,id_tipo , ,smallint , 
categoria_conciliacao,cd_conta_bancaria , ,integer , 
categoria_conciliacao,cd_plano_conta_credito , ,integer , 
categoria_conciliacao,cd_plano_conta_debito , ,integer , 
categoria_conciliacao,created_at , ,timestamp without time zone ,Data de criação do registro 
categoria_conciliacao,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
categoria_conciliacao,nr_categoria_conciliacao , ,text , 
categoria_foto,cd_categoria_foto ,X ,integer , 
categoria_foto,nm_categoria_foto , ,text , 
categoria_foto,ds_categoria_foto , ,text , 
categoria_foto,vl_resultado_aprovacao , ,"numeric(15,2) ", 
categoria_foto,id_nivel_foto , ,smallint , 
categoria_foto,created_at , ,timestamp without time zone ,Data de criação do registro 
categoria_foto,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
categoria_foto,id_ponto_natural , ,smallint , 
categoria_foto,id_foto_depois , ,smallint , 
categoria_foto,id_reabastecimento , ,smallint , 
categoria_foto,id_ponto_extra , ,smallint , 
categoria_foto,id_ativo , ,smallint , 
categoria_foto_metrica,cd_categoria_foto ,X ,integer , 
categoria_foto_metrica,cd_metrica ,X ,integer , 
categoria_foto_metrica,vl_peso , ,"numeric(15,2) ", 
categoria_foto_metrica,created_at , ,timestamp without time zone ,Data de criação do registro 
categoria_foto_metrica,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
categoria_produto,cd_categoria_produto ,X ,integer , 
categoria_produto,nm_categoria_produto , ,text , 
categoria_produto,cd_referencia_externa , ,text , 
categoria_produto,created_at , ,timestamp without time zone ,Data de criação do registro 
categoria_produto,updated_at , ,timestamp without time zone ,Data da última atualização do registro 
